"","x"
"1",0.6575
"2",0.6355
"3",0.784
"4",0.778
"5",0.77
"6",0.761
"7",0.7595
"8",0.7555
"9",0.6055
"10",0.6805
"11",0.6785
"12",0.6785
"13",0.681
"14",0.6805
"15",0.683
"16",0.6825
"17",0.683
"18",0.683
"19",0.6835
"20",0.5255
"21",0.4805
"22",0.744
"23",0.7445
"24",0.742
"25",0.6445
"26",0.631
"27",0.639
"28",0.626
"29",0.746
"30",0.624
"31",0.644
"32",0.6355
"33",0.4375
"34",0.6235
"35",0.6255
"36",0.626
"37",0.5035
"38",0.503
"39",0.599
"40",0.596
"41",0.593
"42",0.607
"43",0.536
"44",0.4525
"45",0.4775
"46",0.538
"47",0.4735
"48",0.475
"49",0.516
"50",0.523
"51",0.561
"52",0.552
"53",0.6635
"54",0.5705
"55",0.6065
"56",0.619
"57",0.6215
"58",0.604
"59",0.571
"60",0.616
"61",0.643
"62",0.446
"63",0.432
"64",0.69
"65",0.4805
"66",0.578
"67",0.619
"68",0.6655
"69",0.573
"70",0.4705
"71",0.477
"72",0.4815
"73",0.4345
"74",0.4065
"75",0.405
"76",0.4645
"77",0.483
"78",0.5885
"79",0.5565
"80",0.5515
"81",0.5975
"82",0.533
"83",0.5265
"84",0.5295
"85",0.597
"86",0.473
"87",0.555
"88",0.5475
"89",0.566
"90",0.59
"91",0.6125
"92",0.4955
"93",0.5085
"94",0.528
"95",0.5505
"96",0.5535
"97",0.557
"98",0.544
"99",0.5465
"100",0.5335
"101",0.586
"102",0.5515
"103",0.4295
"104",0.414
"105",0.4205
"106",0.5415
"107",0.5565
"108",0.494
"109",0.6165
"110",0.4715
"111",0.41
"112",0.557
"113",0.6215
"114",0.6205
"115",0.5705
"116",0.64
"117",0.6375
"118",0.615
"119",0.615
"120",0.6105
"121",0.615
"122",0.6135
"123",0.6095
"124",0.608
"125",0.6145
"126",0.625
"127",0.625
"128",0.6325
"129",0.572
"130",0.575
"131",0.5875
"132",0.5945
"133",0.576
"134",0.5755
"135",0.68
"136",0.6695
"137",0.657
"138",0.585
"139",0.612
"140",0.575
"141",0.4285
"142",0.501
"143",0.495
"144",0.495
"145",0.494
"146",0.4945
"147",0.4935
"148",0.4925
"149",0.489
"150",0.49
"151",0.49
"152",0.491
"153",0.4605
"154",0.46
"155",0.46
"156",0.4625
"157",0.465
"158",0.4675
"159",0.4745
"160",0.474
"161",0.4415
"162",0.4405
"163",0.441
"164",0.4415
"165",0.444
"166",0.4365
"167",0.432
"168",0.441
"169",0.4405
"170",0.443
"171",0.443
"172",0.443
"173",0.4445
"174",0.446
"175",0.4485
"176",0.4505
"177",0.422
"178",0.4235
"179",0.4275
"180",0.4295
"181",0.433
"182",0.443
"183",0.442
"184",0.443
"185",0.442
"186",0.4425
"187",0.4395
"188",0.5945
"189",0.596
"190",0.5955
"191",0.5455
"192",0.633
"193",0.6335
"194",0.461
"195",0.56
"196",0.5335
"197",0.585
"198",0.6635
"199",0.639
"200",0.516
"201",0.4915
"202",0.5135
"203",0.5515
"204",0.5245
"205",0.5205
"206",0.5265
"207",0.4235
"208",0.4255
"209",0.554
"210",0.5895
"211",0.625
"212",0.622
"213",0.621
"214",0.6205
"215",0.6215
"216",0.6195
"217",0.6315
"218",0.624
"219",0.62
"220",0.5305
"221",0.5815
"222",0.583
"223",0.5835
"224",0.5495
"225",0.5495
"226",0.55
"227",0.5545
"228",0.557
"229",0.5795
"230",0.5835
"231",0.5705
"232",0.571
"233",0.5705
"234",0.525
"235",0.524
"236",0.5195
"237",0.58
"238",0.597
"239",0.61
"240",0.6165
"241",0.6275
"242",0.568
"243",0.5615
"244",0.5715
"245",0.6215
"246",0.603
"247",0.6425
"248",0.6095
"249",0.6295
"250",0.61
"251",0.5565
"252",0.638
"253",0.5525
"254",0.585
"255",0.385
"256",0.35
"257",0.384
"258",0.3795
"259",0.462
"260",0.4615
"261",0.462
"262",0.457
"263",0.4575
"264",0.457
"265",0.44
"266",0.4395
"267",0.47
"268",0.4685
"269",0.4685
"270",0.468
"271",0.4685
"272",0.4505
"273",0.451
"274",0.4515
"275",0.451
"276",0.448
"277",0.4485
"278",0.5205
"279",0.5105
"280",0.5245
"281",0.532
"282",0.482
"283",0.447
"284",0.444
"285",0.582
"286",0.446
"287",0.411
"288",0.4065
"289",0.406
"290",0.432
"291",0.383
"292",0.463
"293",0.469
"294",0.65
"295",0.4895
"296",0.5115
"297",0.5685
"298",0.556
"299",0.5575
"300",0.4765
"301",0.472
"302",0.4725
"303",0.477
"304",0.479
"305",0.4825
"306",0.455
"307",0.4565
"308",0.509
"309",0.51
"310",0.5075
"311",0.4995
"312",0.5
"313",0.4895
"314",0.518
"315",0.5175
"316",0.524
"317",0.5215
"318",0.5205
"319",0.519
"320",0.519
"321",0.5165
"322",0.5175
"323",0.515
"324",0.528
"325",0.53
"326",0.519
"327",0.524
"328",0.505
"329",0.4215
"330",0.4245
"331",0.5185
"332",0.5315
"333",0.5245
