"","x"
"V1",379.5
"V2",343
"V3",391.5
"V4",379.75
"V5",376.25
"V6",372
"V7",375.25
"V8",376.25
"V9",403.5
"V10",373.25
"V11",373
"V12",372.5
"V13",375.25
"V14",374.5
"V15",374.25
"V16",373.75
"V17",374.75
"V18",375.75
"V19",374.75
"V20",380.5
"V21",405.75
"V22",402
"V23",402.5
"V24",400
"V25",379.5
"V26",348.75
"V27",361.5
"V28",385
"V29",372.75
"V30",378
"V31",377.75
"V32",366.75
"V33",487.5
"V34",369.25
"V35",368.25
"V36",367.75
"V37",397.25
"V38",400.5
"V39",373.75
"V40",370.5
"V41",370.25
"V42",355.5
"V43",314.5
"V44",390.75
"V45",380.75
"V46",374.5
"V47",386.75
"V48",375.75
"V49",385.75
"V50",390
"V51",448.25
"V52",392
"V53",380.5
"V54",431.25
"V55",407.5
"V56",406.25
"V57",412
"V58",385.5
"V59",409.5
"V60",388.5
"V61",394.75
"V62",377
"V63",368.25
"V64",399.75
"V65",435.75
"V66",393.5
"V67",383.25
"V68",374.5
"V69",401.5
"V70",450
"V71",413.75
"V72",407.5
"V73",382.25
"V74",379.5
"V75",389.25
"V76",412.5
"V77",414.75
"V78",364.25
"V79",387
"V80",384.5
"V81",404.5
"V82",399.5
"V83",399.25
"V84",400
"V85",389
"V86",439.75
"V87",384
"V88",541.75
"V89",381.75
"V90",368.25
"V91",400.75
"V92",400.5
"V93",419.75
"V94",399
"V95",406
"V96",409.25
"V97",404.75
"V98",395.25
"V99",392
"V100",393.75
"V101",386.5
"V102",408.25
"V103",435.75
"V104",403.5
"V105",447
"V106",378.75
"V107",365
"V108",418.5
"V109",393.5
"V110",453
"V111",451.25
"V112",396
"V113",384.5
"V114",385
"V115",368.75
"V116",436
"V117",435.5
"V118",436.75
"V119",437.25
"V120",413.25
"V121",413.5
"V122",393.75
"V123",393
"V124",393.75
"V125",411.5
"V126",405.75
"V127",406.25
"V128",395.5
"V129",392.5
"V130",389.75
"V131",395
"V132",396.5
"V133",419
"V134",384.5
"V135",379
"V136",377.75
"V137",376.75
"V138",398.5
"V139",399.5
"V140",387.5
"V141",418.75
"V142",395
"V143",397.25
"V144",397.5
"V145",397.75
"V146",397.25
"V147",397.5
"V148",396.75
"V149",395.25
"V150",393
"V151",395.5
"V152",391
"V153",399.5
"V154",400
"V155",401.5
"V156",402
"V157",399.25
"V158",397.25
"V159",397.5
"V160",397.5
